,GRAPH_IDX,NUM_NODES,LOG_NUM_EDGES,IS_CONNECTED,LOGRATIO_EDGETONODES,DENSITY,LOG_CHROMATIC_NUM,NORM_MIS,GRAPH_ASSORTATIVITY,SPECTRAL_GAP,LOG_LARGESTEIGVAL,LOG_SECONDLARGESTEIGVAL,LOG_SMALLESTEIGVAL,MIN_ECC,MAX_ECC,LOGRATIO_MAXMINECC,GIRTH,LOG_KEMENY_CONSTANT,TRANSITIVITY,CALCULATED_RATIO,percent_cut,percent_positive_lower_triangular,percent_close1_lower_triangular,percent_close3_lower_triangular,expected_costGW_over_sdp_cost,std_costGW_over_sdp_cost
502,graph_502,100,8.135639903354386,1,-2.5089157878876938,0.6896969696969697,4.04305126783455,0.44,-0.47578624,0.3137213321796706,(0.38948916645744375+0j),(0.15057729980170528+0j),(-0.2753507194230598+0j),1,2,0.6931471805599453,3,4.587979992205978,0.7809548483451505,1.2823529411764707,0.670547261857837,0.252,0.9892,0.9749,0.9858004257360271,0.08026910576947593
503,graph_503,100,8.156223323194624,1,-2.5063889521899063,0.704040404040404,4.07753744390572,0.42,-0.46373702,0.3035360516468879,(0.38111505896690717+0j),(0.14874752108204964+0j),(-0.2782918369331707+0j),1,2,0.6931471805599453,3,4.587858155818391,0.792619958884948,1.2797783933518003,0.6628407949618946,0.2579,0.99,0.9791,0.9994678916227233,0.012540673768138473
504,graph_504,100,8.120886021092838,1,-2.5107309218690785,0.6795959595959596,3.9889840465642745,0.47,-0.4950496,0.3283536232073154,(0.40323805940396323+0j),(0.15555784997247754+0j),(-0.2440840144487104+0j),1,2,0.6931471805599453,3,4.587931591955382,0.7652765778597613,1.2774694783573808,0.6843787037621348,0.2567,0.99,0.9768,0.9960343317986289,0.048214643194336264
505,graph_505,100,8.055157731819678,1,-2.51885758769865,0.6363636363636364,3.970291913552122,0.47,-0.53169027,0.39280413869369024,(0.4282298039984865+0j),(0.13254863665057123+0j),(-0.26777975411913+0j),1,2,0.6931471805599453,3,4.588345507720925,0.7305953714793494,1.2623873873873874,0.7117460413422915,0.2548,0.99,0.9898,0.9999982023960019,2.8152959188770834e-05
506,graph_506,100,8.09925056179696,1,-2.51339865182518,0.665050505050505,4.060443010546419,0.43,-0.50151497,0.35140508861280084,(0.40730065157744355+0j),(0.14093582271906643+0j),(-0.2772975167264228+0j),1,2,0.6931471805599453,3,4.588175321099273,0.7589482960512814,1.2609905397885364,0.6886391796486606,0.2694,0.9898,0.9798,0.9910312404965308,0.06971961057583244
507,graph_507,100,8.076826031298808,1,-2.516171208536816,0.6503030303030303,3.9889840465642745,0.47,-0.51489081,0.3665114523614672,(0.4166261642581978+0j),(0.14004356123620967+0j),(-0.27233665927217754+0j),1,2,0.6931471805599453,3,4.588280356556325,0.7455621301775148,1.248888888888889,0.6983535534209244,0.2577,0.99,0.9898,0.9999848360940327,0.0004780412101879533
508,graph_508,100,8.142063283104147,1,-2.508126563510078,0.6941414141414142,4.060443010546419,0.42,-0.47085805,0.3150564068290662,(0.38613822927565095+0j),(0.14516611783415098+0j),(-0.2754538964572598+0j),1,2,0.6931471805599453,3,4.5879526150407735,0.7853119281631421,1.2474226804123711,0.6690909782025727,0.267,0.9899,0.9695,0.9995430175479445,0.010056511185450838
509,graph_509,100,8.129174996911793,1,-2.509710743972063,0.6852525252525252,4.04305126783455,0.44,-0.48031752,0.31722597054110224,(0.3927643401236702+0j),(0.15172776039536665+0j),(-0.27087102446739897+0j),1,2,0.6931471805599453,3,4.58800474690622,0.7768039551391801,1.240238611713666,0.674233487874186,0.2587,0.99,0.989,0.9994879795041915,0.0114773295245268
510,graph_510,100,8.11162807830774,1,-2.5118715885251754,0.6733333333333333,4.02535169073515,0.45,-0.4973878,0.3429664293782164,(0.4044868784787974+0j),(0.14459108383880045+0j),(-0.2678465157652593+0j),1,2,0.6931471805599453,3,4.588058240911669,0.7630372730395234,1.238353196099675,0.6859430931302775,0.255,0.9898,0.9766,0.9861317211278219,0.08696972740862075
511,graph_511,100,8.156223323194624,1,-2.5063889521899063,0.704040404040404,4.060443010546419,0.43,-0.4667154,0.29331932069828537,(0.38337073632729085+0j),(0.16033372051921874+0j),(-0.2646843005144246+0j),1,2,0.6931471805599453,3,4.58780351270935,0.7898640296662547,1.2358591248665955,0.6645623328945557,0.2441,0.99,0.9894,1.0000001165209433,0.0
